example_id,tweet_id,customer_query,provisional_intent,provisional_escalation,provisional_reason,candidate_reviewed_intent,candidate_reviewed_escalation,candidate_reviewed_reason,candidate_reviewed_difficulty,candidate_notes
1,697,The newest update. I️ made sure to download it yesterday.,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard self-serve diagnostic workflow available for software update os.,,,,,
2,735,I have the iPhone 6s Plus and just did the most recent update.,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard self-serve diagnostic workflow available for software update os.,,,,,
3,736,Thank you  I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard self-serve diagnostic workflow available for software update os.,,,,,
4,745,I need the software update urgently. The battery lasts literally half a day 🙍🏼🙁,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard self-serve diagnostic workflow available for software update os.,,,,,
5,758,Hey ! Last time I downloaded an update my freaking phone gave me hell. Any recommendations?,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard self-serve diagnostic workflow available for software update os.,,,,,
6,765,After update #ios1103 no spotify on my lock screen?,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard self-serve diagnostic workflow available for software update os.,,,,,
7,1757,I️ just updated it and it’s still coming up,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard self-serve diagnostic workflow available for software update os.,,,,,
8,1761,iOS 11 is killing my battery . Fix it.,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard self-serve diagnostic workflow available for software update os.,,,,,
9,1779,my PHONE app doesn’t work. Thank you for updating my #iPhone to an #ipod,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard self-serve diagnostic workflow available for software update os.,,,,,
10,1783,if my words even mean a thing to you; I am an iPhone 7 owner and have updated to your latest software and now am having the most dropped calls in history and glitch’s such as apps randomly opening and more ... #iHelp,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard self-serve diagnostic workflow available for software update os.,,,,,
11,1789,No I had 11.0.3 but now it says 11.1 update so ima go ahead and do that,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard self-serve diagnostic workflow available for software update os.,,,,,
12,1791,why won’t my apps fuccin download or update,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard self-serve diagnostic workflow available for software update os.,,,,,
13,2610,$100 billion says that solves my problem? I’m on 11.0.3 currently. Hold please.,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard self-serve diagnostic workflow available for software update os.,,,,,
14,2615,"Yes, after the update. I Phone 7",SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard self-serve diagnostic workflow available for software update os.,,,,,
15,2616,"why is my battery life short? I updated to 11.1, my battery is poor. Wife didn’t she likes her battery life",SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard self-serve diagnostic workflow available for software update os.,,,,,
16,2624,"It’s been a few days since  made me update my phone’s operating system. Now constantly glitching, hmm 🤔 I’m shocked!",SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard self-serve diagnostic workflow available for software update os.,,,,,
17,2627,iOS 11.1 it’s been getting worse for a few months now,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard self-serve diagnostic workflow available for software update os.,,,,,
18,2635,"Just updated iOS on iPhone7, now iCloud backup greyed out, cannot be turned on, says “Last Backup Never”",SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard self-serve diagnostic workflow available for software update os.,,,,,
19,2645,when will the bug in the calendar app be fixed? I upgraded to iOS 11.1 and it still crashes when iOS 11.03,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard self-serve diagnostic workflow available for software update os.,,,,,
20,2650,"really needs to fix this update. My phone has never been slower, for real.",SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard self-serve diagnostic workflow available for software update os.,,,,,
21,2654,newest version of iOS and iPhone 7,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard self-serve diagnostic workflow available for software update os.,,,,,
22,2680,It’s sorted. Thanks. iOS update needed a change and hard reboot,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard self-serve diagnostic workflow available for software update os.,,,,,
23,2682,ios 11.0.3 on 6s. Cannot adjust alarm volume so waking up all in my house and neighbours despite ringer being set to minimum!,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard self-serve diagnostic workflow available for software update os.,,,,,
24,2684,live photo keeps turning on in the camera even when it’s set to stay off. Please fix in next update.,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard self-serve diagnostic workflow available for software update os.,,,,,
25,3763,"11.1?? when did that come out lol, i talked to you guys last night and you asked if i was updated to 11.0.3 which i am lol",SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard self-serve diagnostic workflow available for software update os.,,,,,
26,767,I just need  to do something about the battery life because it sucks ass,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard self-serve diagnostic workflow available for battery performance.,,,,,
27,1775,Battery life just got worst.,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard self-serve diagnostic workflow available for battery performance.,,,,,
28,2628,Question-   my iPhone6 dies very quick (have to charge it 3 times a day) my iPhone5 battery was faulty. Could this be the same?,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard self-serve diagnostic workflow available for battery performance.,,,,,
29,2637,"Hi, I plugged an adapter straight into the transformer and it still didn't charger. The charger LED does not light up either.",BATTERY_PERFORMANCE,AUTO_HANDLE,Standard self-serve diagnostic workflow available for battery performance.,,,,,
30,3767,I’m no expert in battery life  but 40% doesn’t go to 7% in 5minutes,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard self-serve diagnostic workflow available for battery performance.,,,,,
